me,you
어어 했지,"성공할거 같니
망한거 같은데 난 
ㅋㅋㅋㅋㅋㅋㅋㅋ"
"ㅋㅋㅋㅋㅋㅋㅋㅋ 나도
그냥 하나만 잡혀도 
괜찮을듯","사진
걉강 있니
어떤거 같에"
인공지능 겹치는거 같은데,"그거 어차피
터졌어"
시간표 괜찮은데,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"ㄹㅇ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",너꺼 훔쳐봤는데
금공강 맞췄네,"논리설계
이거
난 안담아지던데
너 담았어?"
"어
나도",그 학년제한 뜨던데
그래서 일단 다른거 잡았어,너도 떳구나
그니까,"그러면
수신때"
근데 뭔가 신청한 사람이 별로 없어서,그거 잡자
어어,같이 들어
녹강 느낌인거 같은데,"너 수업 같이 듣는 친구 있니
나는 없거든"
"나도 없다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","역시
복학생"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜
슬프다","아 근데
수희등
뭐 의미 없는듯?"
ㅇㅇ 그냥 어차피 다 터지는듯,"1순위 먼지 기억하니
너꺼"
"나 운영체제
화목이었는데","유혁 교수님꺼?
그거 레전드던데"
"어어
그니까","포기해
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
수신 보여줄게,ㅇㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"알았다
나만 망한건 어니구나
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
다 비슷하겠지?"
"나도 비슷해
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅋ
수신때
함 해보자"
다 운 좋으면 하나일듯,"교양
디지털인문학
이거 재밌어 보이던데
한번 봐봐"
ㅇㅋㅇㅋ 클루 봄,"흥미있으면
나도 담아
여유있어
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너도 담아"
"내가 담은 과학적어리석음
이거 꿀이야","그래?
자리있니"
터졌을걸,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
의미 없잖니"
그냥 3학년이니까 수신으로 간다는 마인드,"아
나 2학년인데"
"아
그러네","실패하면
디지털그거로 와
내가 반겨줄게"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅇㅋㅇㅋ,그래 화이팅
"화이팅
수강신청 다 잡아버렸다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
수희등 잘됐어??","올 ㅋㅋㅋ 역시 3학년...
나 수희등 생각보다 많이 붙었더라
내일 2개만 하면 됨"
"오 좋은데
난 수희등에서 딱 유혁 교수님 하나 붙었었음
ㅋㅋㅋㅋㅋㅋㅋ","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
대단하네
선물과 메시지를 보냈습니다.
지금 확인해 보세요!
생축생축
곧 보자"
"오 뭐야
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
고맙다
곧 봐야지","굳굳
나랑 인공지능 겹강이다"
오 오늘 수업 가??,"가지
이따보겠네"
"ㅋㅋㅋㅋㅋㅋㅋㅋ
그러겠네
이따 보자
수업 중이야?","끜낫어
넌?"
나도 끝났음,어딨니
나 지금 it교양관,"헐
그 
신축건물?"
"어어
넌 어디야?",우정정보관
정보관으로 가야겠다,"아 잠만
나 거기
구경할래"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그럼 1층에 있을게","어딘지 모르겠다
젠장
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"ㅋㅋㅋㅋㅋㅋㅋ
정보관쪽으로 감",와바
"아 잠만
강의실에 우산 놓고 나왔다","근데 여기 사람 많아서 앉을곳 없음
내가 갈게
찾아볼게"
ㅇㅋㅇㅋ,위치 대충 힌트좀
그냥 좀만 안쪽으로 들어오면 보임,"하 어렵네
아"
그 인공지능 그쪽으로,빨랑와
정보관?,"It
교양관
1층"
"어디야?
나도 1층인데",나 과도에 있어
